time	Pump HP:Pressure [bar]
00:02:20.111	195.500
00:02:20.971	193.800
00:02:21.831	192.900
00:02:22.261	192.000
00:02:22.691	191.200
00:02:23.561	190.300
00:02:24.441	189.400
00:02:25.300	188.600
00:02:26.590	187.700
00:02:27.470	186.800
00:02:28.633	186.800
00:02:28.780	186.000
00:02:30.070	185.100
00:02:32.692	185.100
00:02:33.070	184.200
00:02:34.712	184.200
00:02:35.650	183.400
00:03:01.082	183.400
00:03:01.969	184.200
00:03:02.399	183.400
00:03:02.829	184.200
00:03:35.551	184.200
00:03:35.578	185.100
00:03:36.008	184.200
00:03:36.438	185.100
00:03:38.601	185.100
00:03:39.018	184.200
00:03:39.448	185.100
00:03:40.298	184.200
00:03:40.728	185.100
00:04:21.180	185.100
00:04:21.457	186.000
00:04:21.877	185.100
00:04:22.307	186.000
00:04:23.147	185.100
00:04:23.997	186.000
00:04:24.837	185.100
00:04:27.270	185.100
00:04:28.207	186.000
00:04:29.047	185.100
00:04:30.310	185.100
00:04:31.147	186.000
00:04:31.567	185.100
00:04:31.987	186.000
00:04:32.407	185.100
00:04:32.827	186.000
00:04:33.257	185.100
00:04:34.369	185.100
00:04:34.516	186.000
00:04:34.937	185.100
00:04:35.777	186.000
00:04:36.627	185.100
00:04:37.466	186.000
00:04:38.307	185.100
00:04:38.727	186.000
00:04:39.566	185.100
00:04:41.326	186.000
00:04:41.746	185.100
00:04:43.489	185.100
00:04:43.986	186.000
00:04:44.406	185.100
00:04:44.826	186.000
00:04:45.666	185.100
00:04:46.086	186.000
00:04:46.936	185.100
00:04:48.196	186.000
00:04:49.456	185.100
00:04:50.306	186.000
00:04:50.726	185.100
00:04:51.566	186.000
00:04:53.629	186.000
00:04:54.526	185.100
00:04:55.366	186.000
00:04:56.206	185.100
00:04:57.466	186.000
00:04:57.886	185.100
00:04:59.146	186.000
00:04:59.986	185.100
00:05:48.388	185.100
00:05:49.244	184.200
00:05:49.664	185.100
00:05:50.099	184.200
00:05:52.438	184.200
00:05:52.624	185.100
00:05:53.464	184.200
00:06:02.578	184.200
00:06:02.734	183.400
00:06:03.154	184.200
00:06:04.608	184.200
00:06:05.264	183.400
00:06:06.124	184.200
00:06:06.554	183.400
00:06:06.974	184.200
00:06:07.394	183.400
00:06:17.787	183.400
00:06:18.784	182.500
00:06:19.623	183.400
00:06:20.044	182.500
00:06:20.464	183.400
00:06:20.883	182.500
00:06:21.303	183.400
00:06:21.724	182.500
00:06:26.917	182.500
00:06:27.613	181.600
00:06:28.033	182.500
00:06:28.873	181.600
00:06:32.997	181.600
00:06:33.553	180.800
00:06:37.057	180.800
00:06:37.763	179.900
00:06:40.097	179.900
00:06:40.753	180.800
00:06:41.193	182.500
00:06:41.613	183.400
00:06:42.043	185.100
00:06:42.463	186.800
00:06:42.893	189.400
00:06:43.318	191.200
00:06:43.743	193.800
00:06:44.173	196.300
00:06:44.623	199.800
00:06:45.048	202.400
00:06:45.483	205.000
00:06:45.913	208.500
00:06:46.333	211.900
00:06:46.763	215.400
00:06:47.188	218.000
00:06:47.613	221.400
00:06:48.063	225.800
00:06:48.483	228.400
00:06:48.913	231.800
00:06:49.342	236.200
00:06:49.778	239.600
00:06:50.203	243.100
00:06:50.623	247.400
00:06:51.052	250.900
00:06:51.478	255.200
00:06:51.913	258.700
00:06:52.332	263.000
00:06:52.752	266.400
00:06:53.183	270.800
00:06:53.603	275.100
00:06:54.032	278.600
00:06:54.458	282.900
00:06:54.893	286.300
00:06:55.337	290.700
00:06:55.778	295.000
00:06:56.207	298.500
00:06:56.642	302.800
00:06:57.072	307.100
00:06:57.492	310.600
00:06:57.922	314.900
00:06:58.342	319.200
00:06:58.762	322.700
00:06:59.187	327.000
00:06:59.632	331.300
00:07:00.072	335.700
00:07:00.502	339.100
00:07:00.922	341.700
00:07:01.352	344.300
00:07:01.787	346.900
00:07:02.227	348.600
00:07:02.687	351.200
00:07:03.132	352.100
00:07:03.567	353.800
00:07:03.997	354.700
00:07:04.432	355.600
00:07:04.887	356.400
00:07:05.312	357.300
00:07:05.737	358.200
00:07:06.177	359.000
00:07:06.602	359.900
00:07:08.352	360.800
00:07:08.787	359.900
00:07:09.647	360.800
00:07:10.087	359.900
00:07:11.536	359.900
00:07:11.832	359.000
