time	Pump A:Actual flow [µL/min]
00:05:05.681	15.562
00:05:06.101	15.594
00:05:06.521	15.484
00:05:06.941	15.281
00:05:07.370	15.203
00:05:07.791	15.089
00:05:08.211	15.132
00:05:08.641	15.100
00:05:09.060	15.068
00:05:09.480	14.858
00:05:09.900	14.627
00:05:10.320	14.573
00:05:10.740	14.698
00:05:11.160	14.577
00:05:11.580	14.399
00:05:12.000	14.232
00:05:12.421	14.218
00:05:12.840	14.264
00:05:13.260	14.140
00:05:13.680	13.948
00:05:14.100	13.791
00:05:14.520	13.930
00:05:14.940	13.827
00:05:15.360	13.727
00:05:15.780	13.489
00:05:16.200	13.578
00:05:16.630	13.546
00:05:17.050	13.343
00:05:17.470	13.109
00:05:17.890	13.297
00:05:18.310	13.173
00:05:18.730	12.929
00:05:19.150	12.879
00:05:19.570	12.918
00:05:19.990	12.784
00:05:20.410	12.552
00:05:20.830	12.693
00:05:21.250	12.461
00:05:21.680	12.294
00:05:22.100	12.421
00:05:22.520	12.225
00:05:22.940	12.138
00:05:23.360	12.142
00:05:23.780	11.990
00:05:24.200	11.906
00:05:24.620	11.986
00:05:25.040	11.750
00:05:25.460	11.797
00:05:25.880	11.834
00:05:26.300	11.576
00:05:26.720	11.805
00:05:27.140	11.689
00:05:27.560	11.456
00:05:27.980	11.659
00:05:28.400	11.449
00:05:28.820	11.395
00:05:29.240	11.471
00:05:29.660	11.228
00:05:30.080	11.406
00:05:30.500	11.340
00:05:30.920	11.144
00:05:31.340	11.271
00:05:31.760	11.025
00:05:32.180	11.097
00:05:32.600	11.126
00:05:33.020	10.916
00:05:33.440	11.035
00:05:33.860	10.872
00:05:34.280	10.916
00:05:34.700	10.890
00:05:35.120	10.763
00:05:35.540	10.818
00:05:35.960	10.542
00:05:36.380	10.727
00:05:36.800	10.571
00:05:37.220	10.582
00:05:37.640	10.542
00:05:38.060	10.324
00:05:38.480	10.538
00:05:38.910	10.266
00:05:39.330	10.379
00:05:39.749	10.339
00:05:40.170	10.215
00:05:40.590	10.277
00:05:41.010	10.074
00:05:41.430	10.201
00:05:41.859	9.972
00:05:42.280	10.085
00:05:42.699	9.983
00:05:43.129	9.965
00:05:43.549	9.900
00:05:43.970	9.802
00:05:44.389	9.893
00:05:44.809	9.614
00:05:45.229	9.770
00:05:45.649	9.560
00:05:46.069	9.697
00:05:46.489	9.469
00:05:46.919	9.567
00:05:47.339	9.433
00:05:47.759	9.506
00:05:48.179	9.401
00:05:48.599	9.397
00:05:49.019	9.350
00:05:49.439	9.285
00:05:49.859	9.281
00:05:50.279	9.194
00:05:50.699	9.158
00:05:51.119	9.126
00:05:51.539	9.097
00:05:51.959	8.985
00:05:52.379	8.941
00:05:52.799	8.966
00:05:53.219	8.778
00:05:53.639	8.854
00:05:54.059	8.738
00:05:54.479	8.760
00:05:54.899	8.554
00:05:55.319	8.724
00:05:55.739	8.471
00:05:56.159	8.597
00:05:56.579	8.387
00:05:57.003	8.507
00:05:57.419	8.391
00:05:57.839	8.438
00:05:58.269	8.319
00:05:58.689	8.261
00:05:59.109	8.301
00:05:59.529	8.105
00:05:59.949	8.199
00:06:00.369	7.957
00:06:00.789	8.127
00:06:01.219	7.888
00:06:01.639	8.015
00:06:02.059	7.950
00:06:02.479	7.808
00:06:02.899	7.902
00:06:03.319	7.671
00:06:03.739	7.816
00:06:04.159	7.664
00:06:04.579	7.671
00:06:05.419	7.457
00:06:05.839	7.577
00:06:06.259	7.374
00:06:06.679	7.472
00:06:07.107	7.425
00:06:07.529	7.229
00:06:07.949	7.356
00:06:08.379	7.146
00:06:08.799	7.215
00:06:09.219	7.226
00:06:09.639	7.019
00:06:10.059	7.106
00:06:10.479	6.991
00:06:10.899	6.943
00:06:11.329	7.016
00:06:11.749	6.770
00:06:12.169	6.878
00:06:12.589	6.853
00:06:13.009	6.636
00:06:13.429	6.744
00:06:13.849	6.683
00:06:14.268	6.535
00:06:14.689	6.636
00:06:15.109	6.542
00:06:15.529	6.426
00:06:15.949	6.498
00:06:16.368	6.390
00:06:16.789	6.296
00:06:17.208	6.354
00:06:17.628	6.212
00:06:18.048	6.162
00:06:18.469	6.238
00:06:18.888	6.118
00:06:19.308	6.006
00:06:19.728	6.089
00:06:20.148	6.003
00:06:20.569	5.829
00:06:20.988	5.947
00:06:21.408	5.877
00:06:21.828	5.692
00:06:22.248	5.817
00:06:22.668	5.784
00:06:23.088	5.543
00:06:23.508	5.632
00:06:23.928	5.647
00:06:24.348	5.554
00:06:24.768	5.414
00:06:25.188	5.503
00:06:25.608	5.458
00:06:26.028	5.251
00:06:26.448	5.314
00:06:26.868	5.329
00:06:27.288	5.240
00:06:27.708	5.058
00:06:28.128	5.180
00:06:28.548	5.154
00:06:28.968	5.036
00:06:29.390	4.870
00:06:29.808	4.977
00:06:30.648	4.859
00:06:31.068	4.704
00:06:31.498	4.814
00:06:31.918	4.778
00:06:32.338	4.689
00:06:32.758	4.516
00:06:33.178	4.586
00:06:33.598	4.637
00:06:34.018	4.578
00:06:34.438	4.364
00:06:34.858	4.339
00:06:35.278	4.427
00:06:35.698	4.394
00:06:36.118	4.305
00:06:36.538	4.117
00:06:36.958	4.158
00:06:37.378	4.195
00:06:37.818	4.132
00:06:38.238	4.047
00:06:38.658	3.896
00:06:39.078	3.977
00:06:39.498	4.014
00:06:39.918	3.947
00:06:40.338	3.862
00:06:40.758	3.655
00:06:41.178	3.678
00:06:41.598	3.733
00:06:42.438	3.644
00:06:42.858	3.533
00:06:43.278	3.367
00:06:43.698	3.441
00:06:44.118	3.507
00:06:44.538	3.478
00:06:44.958	3.382
00:06:45.378	3.234
00:06:45.807	3.116
00:06:46.227	3.197
00:06:46.648	3.223
00:06:47.068	3.171
00:06:47.488	3.097
00:06:47.908	2.983
00:06:48.328	2.863
00:06:49.168	2.939
00:06:49.588	2.925
00:06:50.008	2.856
00:06:50.427	2.776
00:06:50.858	2.674
00:06:51.278	2.551
00:06:51.697	2.522
00:06:52.117	2.591
00:06:52.537	2.631
00:06:52.968	2.576
00:06:53.387	2.463
00:06:53.807	0.901
00:06:54.227	0.085
00:06:54.647	0.009
00:06:55.077	0.006
00:06:55.497	0.002
00:06:55.917	0.006
00:06:56.337	-0.010
00:06:56.757	0.009
00:06:57.177	0.002
00:06:57.597	-0.013
00:06:58.437	0.002
00:06:59.277	0.006
00:06:59.697	-0.010
00:07:00.117	0.006
00:07:00.537	0.017
00:07:00.967	-0.006
00:07:01.387	-0.002
00:07:01.807	0.002
00:07:02.227	0.006
00:07:02.647	0.002
00:07:03.067	-0.006
00:07:03.487	-0.002
00:07:03.907	-0.010
00:07:04.327	0.002
00:07:04.747	-0.002
00:07:05.167	0.006
00:07:05.587	-0.006
00:07:06.007	-0.002
00:07:06.427	-0.006
00:07:06.847	0.002
00:07:07.267	0.006
00:07:07.687	-0.010
00:07:08.117	0.006
00:07:08.537	-0.002
00:07:08.957	-0.006
00:07:09.377	0.006
00:07:09.807	-0.006
00:07:10.227	-0.002
00:07:11.067	0.002
00:07:11.487	-0.013
00:07:12.327	-0.002
00:07:12.747	0.006
00:07:13.167	-0.010
00:07:13.587	-0.002
00:07:14.007	0.006
00:07:14.427	0.002
00:07:14.847	-0.013
00:07:15.267	-0.002
00:07:15.692	0.006
00:07:16.547	-0.010
00:07:17.037	0.009
