time	Pump C:Pump speed [µL/min]
00:05:32.740	18.786
00:05:33.160	19.330
00:05:33.580	17.337
00:05:34.000	17.801
00:05:34.420	18.211
00:05:34.840	18.310
00:05:35.260	18.611
00:05:35.680	17.544
00:05:36.100	18.921
00:05:36.520	18.596
00:05:36.940	18.700
00:05:37.360	17.870
00:05:37.780	18.451
00:05:38.200	18.167
00:05:38.620	17.512
00:05:39.050	16.746
00:05:39.470	17.262
00:05:39.890	16.259
00:05:40.310	15.550
00:05:40.729	15.321
00:05:41.150	15.292
00:05:41.570	15.206
00:05:42.000	15.624
00:05:42.420	16.937
00:05:42.839	17.143
00:05:43.270	17.320
00:05:43.690	16.834
00:05:44.109	14.892
00:05:44.529	14.408
00:05:44.949	14.327
00:05:45.370	15.148
00:05:45.789	16.358
00:05:46.209	16.672
00:05:46.629	16.056
00:05:47.059	16.437
00:05:47.479	15.310
00:05:47.899	14.707
00:05:48.319	14.540
00:05:48.739	15.198
00:05:49.159	15.822
00:05:49.579	16.144
00:05:49.999	14.830
00:05:50.420	14.326
00:05:50.839	14.057
00:05:51.259	14.824
00:05:51.679	15.627
00:05:52.099	15.376
00:05:52.519	14.786
00:05:52.939	13.795
00:05:53.359	14.101
00:05:53.779	15.089
00:05:54.199	15.205
00:05:54.619	14.754
00:05:55.039	13.679
00:05:55.459	13.475
00:05:55.879	14.708
00:05:56.299	15.025
00:05:56.719	13.566
00:05:57.139	13.128
00:05:57.559	14.233
00:05:57.979	14.689
00:05:58.409	13.799
00:05:58.829	12.829
00:05:59.249	13.172
00:05:59.669	13.383
00:06:00.089	13.245
00:06:00.509	12.365
00:06:00.929	13.762
00:06:01.359	13.648
00:06:01.779	12.292
00:06:02.199	12.663
00:06:02.619	13.749
00:06:03.039	12.926
00:06:03.459	11.664
00:06:03.879	12.759
00:06:04.299	12.561
00:06:04.719	11.405
00:06:05.139	11.687
00:06:05.559	12.968
00:06:05.979	11.293
00:06:06.399	12.044
00:06:06.819	12.777
00:06:07.249	11.139
00:06:07.669	11.840
00:06:08.100	12.186
00:06:08.519	11.450
00:06:08.939	11.677
00:06:09.359	11.991
