time	Pump D:Actual flow [µL/min]
00:05:23.150	0.231
00:05:23.570	0.192
00:05:23.990	0.186
00:05:24.830	0.173
00:05:25.250	0.225
00:05:25.670	0.199
00:05:26.090	0.205
00:05:26.510	0.180
00:05:27.350	0.199
00:05:28.190	0.192
00:05:28.610	0.199
00:05:29.030	0.186
00:05:29.450	0.173
00:05:29.870	0.186
00:05:30.290	0.180
00:05:30.710	0.199
00:05:31.130	0.212
00:05:31.550	0.192
00:05:31.970	0.180
00:05:33.230	0.186
00:05:33.650	0.180
00:05:34.070	0.147
00:05:34.490	0.199
00:05:34.910	0.186
00:05:35.330	0.160
00:05:35.750	0.173
00:05:36.170	0.167
00:05:36.590	0.147
00:05:37.010	0.186
00:05:37.430	0.192
00:05:37.850	0.180
00:05:38.270	0.173
00:05:38.690	0.160
00:05:39.540	0.167
00:05:39.960	0.160
00:05:40.799	0.199
00:05:41.220	0.160
00:05:41.640	0.154
00:05:42.070	0.180
00:05:42.490	0.141
00:05:43.339	0.167
00:05:43.759	0.147
00:05:44.179	0.154
00:05:44.599	0.167
00:05:45.019	0.147
00:05:45.859	0.167
00:05:46.279	0.160
00:05:46.699	0.154
00:05:47.129	0.173
00:05:47.549	0.154
00:05:47.969	0.135
00:05:48.389	0.147
00:05:48.809	0.141
00:05:49.229	0.173
00:05:49.649	0.154
00:05:50.069	0.147
00:05:50.489	0.135
00:05:50.909	0.128
00:05:51.329	0.147
00:05:52.169	0.141
00:05:53.009	0.135
00:05:54.269	0.128
00:05:54.689	0.141
00:05:55.109	0.147
00:05:55.529	0.122
00:05:55.949	0.147
00:05:56.369	0.115
00:05:56.789	0.109
00:05:57.209	0.128
00:05:57.629	0.122
00:05:58.479	0.128
00:05:58.899	0.122
00:05:59.319	0.109
00:05:59.739	0.115
00:06:00.159	0.122
00:06:00.579	0.109
00:06:01.011	0.115
00:06:01.429	0.102
00:06:01.849	0.109
00:06:02.269	0.115
00:06:02.689	0.109
00:06:03.109	0.115
00:06:03.529	0.102
00:06:03.949	0.122
00:06:04.369	0.109
00:06:04.789	0.090
00:06:05.209	0.109
00:06:05.629	0.090
00:06:06.049	0.115
00:06:06.469	0.109
00:06:06.889	0.102
00:06:07.739	0.109
00:06:08.169	0.096
00:06:08.589	0.102
00:06:09.429	0.109
00:06:09.849	0.096
00:06:10.269	0.083
00:06:10.689	0.090
00:06:11.109	0.102
00:06:11.539	0.109
00:06:12.379	0.096
00:06:12.799	0.102
00:06:13.218	0.077
00:06:13.639	0.090
00:06:14.059	0.096
00:06:14.479	0.102
00:06:14.899	0.077
00:06:15.318	0.102
00:06:15.739	0.077
00:06:16.159	0.096
00:06:16.579	0.077
00:06:16.998	0.090
00:06:17.419	0.070
00:06:17.838	0.096
00:06:18.258	0.077
00:06:18.678	0.058
00:06:19.098	0.064
00:06:19.518	0.109
00:06:19.938	0.096
00:06:20.358	0.083
00:06:20.778	0.077
00:06:21.198	0.070
00:06:21.618	0.090
00:06:22.038	0.070
00:06:22.458	0.083
00:06:22.878	0.064
00:06:23.298	0.070
00:06:24.138	0.064
00:06:24.558	0.051
00:06:24.978	0.083
00:06:25.398	0.058
00:06:25.818	0.045
00:06:26.238	0.051
00:06:26.658	0.064
